Date,Open,High,Low,Close,Volume,RuleA_Signal,RuleA_Profit,RuleA_TotalProfit,RuleB_Signal,RuleB_Profit,RuleB_TotalProfit
2024-12-30 17:00:00,40180,40235,40175,40200,3091,1,0.0,0.0,-1,0.0,0.0
2024-12-30 17:01:00,40195,40205,40185,40185,673,1,0.0,0.0,-1,0.0,0.0
2024-12-30 17:02:00,40190,40200,40165,40170,1033,1,-30.0,-30.0,-1,0.0,0.0
2024-12-30 17:03:00,40175,40180,40160,40170,675,1,-15.0,-45.0,-1,30.0,30.0
2024-12-30 17:04:00,40170,40175,40145,40145,970,1,-25.0,-70.0,-1,40.0,70.0
2024-12-30 17:05:00,40150,40170,40145,40165,697,1,-5.0,-75.0,-1,5.0,75.0
2024-12-30 17:06:00,40160,40160,40130,40135,910,1,-10.0,-85.0,-1,35.0,110.0
2024-12-30 17:07:00,40135,40150,40135,40150,632,1,-15.0,-100.0,-1,-5.0,105.0
2024-12-30 17:08:00,40150,40170,40150,40165,559,1,30.0,-70.0,-1,0.0,105.0
2024-12-30 17:09:00,40170,40190,40170,40190,528,1,40.0,-30.0,-1,-55.0,50.0
2024-12-30 17:10:00,40185,40185,40175,40175,348,1,10.0,-20.0,-1,-25.0,25.0
2024-12-30 17:11:00,40175,40190,40165,40180,453,1,-10.0,-30.0,-1,-15.0,10.0
2024-12-30 17:12:00,40180,40200,40180,40200,358,1,25.0,-5.0,-1,-10.0,0.0
2024-12-30 17:13:00,40200,40205,40185,40185,328,1,5.0,0.0,-1,-10.0,-10.0
2024-12-30 17:14:00,40190,40195,40185,40185,180,1,-15.0,-15.0,-1,-5.0,-15.0
2024-12-30 17:15:00,40185,40215,40185,40210,600,1,25.0,10.0,-1,-10.0,-25.0
2024-12-30 17:16:00,40215,40215,40210,40215,229,1,30.0,40.0,-1,-30.0,-55.0
2024-12-30 17:17:00,40215,40215,40200,40200,334,1,-10.0,30.0,-1,-15.0,-70.0
2024-12-30 17:18:00,40200,40205,40195,40200,345,1,-15.0,15.0,-1,10.0,-60.0
2024-12-30 17:19:00,40200,40210,40195,40200,222,1,0.0,15.0,-1,15.0,-45.0
2024-12-30 17:20:00,40200,40205,40200,40205,368,1,5.0,20.0,-1,-5.0,-50.0
2024-12-30 17:21:00,40200,40205,40195,40205,258,1,5.0,25.0,-1,-5.0,-55.0
2024-12-30 17:22:00,40205,40220,40205,40210,455,1,5.0,30.0,-1,-10.0,-65.0
2024-12-30 17:23:00,40210,40220,40210,40220,663,1,15.0,45.0,-1,-15.0,-80.0
2024-12-30 17:24:00,40215,40230,40210,40225,1073,1,15.0,60.0,-1,-20.0,-100.0
2024-12-30 17:25:00,40225,40225,40205,40210,626,1,-10.0,50.0,-1,0.0,-100.0
2024-12-30 17:26:00,40215,40225,40210,40220,293,1,-5.0,45.0,-1,0.0,-100.0
2024-12-30 17:27:00,40220,40225,40200,40205,496,1,-5.0,40.0,-1,20.0,-80.0
2024-12-30 17:28:00,40205,40215,40195,40200,620,1,-20.0,20.0,-1,10.0,-70.0
2024-12-30 17:29:00,40205,40205,40190,40190,506,1,-15.0,5.0,-1,30.0,-40.0
2024-12-30 17:30:00,40190,40210,40185,40190,753,1,-10.0,-5.0,-1,15.0,-25.0
2024-12-30 17:31:00,40190,40195,40165,40165,866,1,-25.0,-30.0,-1,35.0,10.0
2024-12-30 17:32:00,40165,40165,40150,40165,444,1,-25.0,-55.0,-1,25.0,35.0
2024-12-30 17:33:00,40165,40165,40140,40145,494,1,-20.0,-75.0,-1,45.0,80.0
2024-12-30 17:34:00,40145,40145,40145,40145,162,1,-20.0,-95.0,-1,20.0,100.0
2024-12-30 17:35:00,40145,40155,40140,40145,589,1,0.0,-95.0,-1,20.0,120.0
2024-12-30 17:36:00,40145,40150,40140,40145,314,1,0.0,-95.0,-1,0.0,120.0
2024-12-30 17:37:00,40140,40145,40135,40135,309,1,-10.0,-105.0,-1,10.0,130.0
2024-12-30 17:38:00,40135,40140,40130,40135,487,1,-10.0,-115.0,-1,10.0,140.0
2024-12-30 17:39:00,40130,40135,40125,40135,490,1,0.0,-115.0,-1,10.0,150.0
2024-12-30 17:40:00,40140,40140,40120,40125,617,1,-10.0,-125.0,-1,10.0,160.0
2024-12-30 17:41:00,40125,40125,40110,40125,551,1,-10.0,-135.0,-1,10.0,170.0
2024-12-30 17:42:00,40125,40125,40115,40125,218,1,0.0,-135.0,-1,10.0,180.0
2024-12-30 17:43:00,40125,40130,40115,40125,306,1,0.0,-135.0,-1,0.0,180.0
2024-12-30 17:44:00,40130,40135,40115,40120,498,1,-5.0,-140.0,-1,5.0,185.0
2024-12-30 17:45:00,40115,40125,40110,40120,396,1,-5.0,-145.0,-1,5.0,190.0
2024-12-30 17:46:00,40120,40135,40115,40135,286,1,15.0,-130.0,-1,-10.0,180.0
2024-12-30 17:47:00,40135,40135,40115,40120,469,1,0.0,-130.0,-1,0.0,180.0
2024-12-30 17:48:00,40120,40125,40115,40125,198,1,-10.0,-140.0,-1,-5.0,175.0
2024-12-30 17:49:00,40125,40125,40115,40120,298,1,0.0,-140.0,-1,15.0,190.0
2024-12-30 17:50:00,40120,40120,40110,40115,370,1,-10.0,-150.0,-1,5.0,195.0
2024-12-30 17:51:00,40120,40120,40115,40120,235,1,0.0,-150.0,-1,5.0,200.0
2024-12-30 17:52:00,40115,40120,40110,40120,309,1,5.0,-145.0,-1,0.0,200.0
2024-12-30 17:53:00,40125,40130,40125,40130,312,1,10.0,-135.0,-1,-15.0,185.0
2024-12-30 17:54:00,40130,40130,40115,40120,330,1,0.0,-135.0,-1,0.0,185.0
2024-12-30 17:55:00,40115,40120,40110,40115,353,1,-15.0,-150.0,-1,5.0,190.0
2024-12-30 17:56:00,40115,40125,40115,40120,180,1,0.0,-150.0,-1,10.0,200.0
2024-12-30 17:57:00,40120,40135,40120,40135,219,1,20.0,-130.0,-1,-15.0,185.0
2024-12-30 17:58:00,40140,40150,40135,40150,194,1,30.0,-100.0,-1,-35.0,150.0
2024-12-30 17:59:00,40145,40150,40135,40135,211,1,0.0,-100.0,-1,-15.0,135.0
2024-12-30 18:00:00,40135,40140,40120,40120,368,1,-30.0,-130.0,-1,15.0,150.0
2024-12-30 18:01:00,40120,40130,40120,40120,298,1,-15.0,-145.0,-1,30.0,180.0
2024-12-30 18:02:00,40125,40130,40125,40125,192,1,5.0,-140.0,-1,10.0,190.0
2024-12-30 18:03:00,40125,40130,40120,40125,107,1,5.0,-135.0,-1,-5.0,185.0
2024-12-30 18:04:00,40125,40135,40125,40135,279,1,10.0,-125.0,-1,-15.0,170.0
