Date,Open,High,Low,Close,Date,Rule_Sample_Signal,Rule_StopLoss_Profit,Rule_Sample_Newly_Buy_OrderID,Rule_Sample_Newly_Buy_EntryOrderID,Rule_Sample_Newly_Buy_ExecEntryPrice,Rule_Sample_Settlement_Sell_OrderID,Rule_StopLoss_Settlement_Sell_ExecExitPrice,Rule_Sample_Stoploss_Sell_OrderID,Rule_Sample_Stoploss_Sell_EntryOrderID,Rule_StopLoss_Stoploss_Sell_ExecExitPrice,Rule_Sample_Newly_Sell_OrderID,Rule_Sample_Newly_Sell_EntryOrderID,Rule_Sample_Newly_Sell_ExecEntryPrice,Rule_Sample_Settlement_Buy_OrderID,Rule_StopLoss_Settlement_Buy_ExecExitPrice,Rule_Sample_Stoploss_Buy_OrderID,Rule_Sample_Stoploss_Buy_EntryOrderID,Rule_StopLoss_Stoploss_Buy_ExecExitPrice,Rule_StopLoss_TotalProfit,Rule_StopLoss_WinningRate,Rule_StopLoss_PayoffRatio,Rule_StopLoss_ExpectedValue,Rule_StopLoss_DrawDown,Rule_StopLoss_MaxDrawDown
2024/12/30 17:00,40180,40235,40175,40200,2024/12/30 17:00,1,,Rule_Sample_20241230170000,,,,,Rule_Sample_20241230170001,,,,,,,,,,,60,1,0,0,0,0
2024/12/30 17:01,40195,40205,40185,40185,2024/12/30 17:01,1,,,Rule_StopLoss_20241230170000,40205,,,,,,,,,,,,,,130,1,0,0,0,0
2024/12/30 17:02,40190,40200,40165,40170,2024/12/30 17:02,1,,,,,,,,,,,,,,,,,,190,1,0,0,0,0
2024/12/30 17:03,40175,40180,40160,40170,2024/12/30 17:03,1,,,,,,,,,,,,,,,,,,245,1,0,0,0,0
2024/12/30 17:04,40170,40175,40145,40145,2024/12/30 17:04,1,,,,,,,,,,,,,,,,,,325,1,0,0,0,0
2024/12/30 17:05,40150,40170,40145,40165,2024/12/30 17:05,1,,,,,,,,,,,,,,,,,,375,1,0,0,0,0
2024/12/30 17:06,40160,40160,40130,40135,2024/12/30 17:06,1,-75,,,,,,,Rule_Sample_20241230170001,40130,,,,,,,,,480,1,0,0,0,0
2024/12/30 17:07,40135,40150,40135,40150,2024/12/30 17:07,0,,,,,,,,,,,,,,,,,,560,1,0,0,0,0
2024/12/30 17:08,40150,40170,40150,40165,2024/12/30 17:08,0,,,,,,,,,,,,,,,,,,640,1,0,0,0,0
2024/12/30 17:09,40170,40190,40170,40190,2024/12/30 17:09,0,,,,,,,,,,,,,,,,,,685,1,0,0,0,0
2024/12/30 17:10,40185,40185,40175,40175,2024/12/30 17:10,0,,,,,,,,,,,,,,,,,,750,1,0,0,0,0
2024/12/30 17:11,40175,40190,40165,40180,2024/12/30 17:11,0,,,,,,,,,,,,,,,,,,820,1,0,0,0,0
2024/12/30 17:12,40180,40200,40180,40200,2024/12/30 17:12,0,,,,,,,,,,,,,,,,,,875,1,0,0,0,0
2024/12/30 17:13,40200,40205,40185,40185,2024/12/30 17:13,0,,,,,,,,,,,,,,,,,,935,1,0,0,0,0
2024/12/30 17:14,40190,40195,40185,40185,2024/12/30 17:14,0,,,,,,,,,,,,,,,,,,1015,1,0,0,0,0
2024/12/30 17:15,40185,40215,40185,40210,2024/12/30 17:15,0,,,,,,,,,,,,,,,,,,1080,1,0,0,0,0
2024/12/30 17:16,40215,40215,40210,40215,2024/12/30 17:16,0,,,,,,,,,,,,,,,,,,1130,1,0,0,0,0
2024/12/30 17:17,40215,40215,40200,40200,2024/12/30 17:17,0,,,,,,,,,,,,,,,,,,1185,1,0,0,0,0
2024/12/30 17:18,40200,40205,40195,40200,2024/12/30 17:18,0,,,,,,,,,,,,,,,,,,1245,1,0,0,0,0
2024/12/30 17:19,40200,40210,40195,40200,2024/12/30 17:19,0,,,,,,,,,,,,,,,,,,1300,1,0,0,0,0
