Date,Open,High,Low,Close,Date,Rule_SingleTrade_LossCut_NewBuy_OrderID,Rule_SingleTrade_LossCut_NewBuyExec_OrderID,Rule_SingleTrade_LossCut_NewBuy_ExecTime,Rule_SingleTrade_LossCut_NewBuy_ExecPrice,Rule_SingleTrade_LossCut_NewSell_OrderID,Rule_SingleTrade_LossCut_NewSell_ExecTime,Rule_SingleTrade_LossCut_NewSell_ExecPrice,Rule_SingleTrade_LossCut_CloseBuy_OrderID,Rule_SingleTrade_LossCut_CloseBuy_ExecTime,Rule_SingleTrade_LossCut_CloseBuy_ExecPrice,Rule_SingleTrade_LossCut_CloseSell_OrderID,Rule_SingleTrade_LossCut_CloseSellExec_OrderID,Rule_SingleTrade_LossCut_CloseSell_ExecTime,Rule_SingleTrade_LossCut_CloseSell_ExecPrice,Rule_SingleTrade_LossCut_StopBuy_OrderID,Rule_SingleTrade_LossCut_StopBuy_ExecTime,Rule_SingleTrade_LossCut_StopBuy_ExecPrice,Rule_SingleTrade_LossCut_StopSell_OrderID,Rule_SingleTrade_LossCut_StopSell_ExecTime,Rule_SingleTrade_LossCut_StopSell_ExecPrice,Rule_SingleTrade_LossCut_NewSellExec_OrderID,Rule_SingleTrade_LossCut_CloseBuyExec_OrderID,Rule_SingleTrade_LossCut_StopBuyExec_OrderID,Rule_SingleTrade_LossCut_StopSellExec_OrderID,Rule_SingleTrade_LossCut_Profit,Rule_SingleTrade_LossCut_TotalProfit,Rule_SingleTrade_LossCut_WinningRate,Rule_SingleTrade_LossCut_PayoffRatio,Rule_SingleTrade_LossCut_ExpectedValue,Rule_SingleTrade_LossCut_DrawDown,Rule_SingleTrade_LossCut_MaxDrawDown
2024/12/30 17:00,40180,40235,40175,40200,2024/12/30 17:00,Rule_SingleTrade_LossCut_20241230170000,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1,0,0
2024/12/30 17:01,40195,40205,40185,40185,2024/12/30 17:01,,Rule_SingleTrade_LossCut_20241230170000,2024/12/30 17:01,40205,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1,0,0
2024/12/30 17:02,40190,40200,40165,40170,2024/12/30 17:02,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1,0,0
2024/12/30 17:03,40175,40180,40160,40170,2024/12/30 17:03,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1,0,0
2024/12/30 17:04,40170,40175,40145,40145,2024/12/30 17:04,,,,,,,,,,,Rule_SingleTrade_LossCut_20241230170000_close,,,,,,,,,,,,,,0,0,0,0,-1,0,0
2024/12/30 17:05,40150,40170,40145,40165,2024/12/30 17:05,,,,,,,,,,,,Rule_SingleTrade_LossCut_20241230170000_close,2024/12/30 17:05,40145,,,,,,,,,,,-60,-60,0,0,-1,60,60
2024/12/30 17:06,40160,40160,40130,40135,2024/12/30 17:06,,,,,,,,,,,,,,,,,,,,,,,,,0,-60,0,0,-1,60,60
2024/12/30 17:07,40135,40150,40135,40150,2024/12/30 17:07,,,,,,,,,,,,,,,,,,,,,,,,,0,-60,0,0,-1,60,60
2024/12/30 17:08,40150,40170,40150,40165,2024/12/30 17:08,,,,,,,,,,,,,,,,,,,,,,,,,0,-60,0,0,-1,60,60
2024/12/30 17:09,40170,40190,40170,40190,2024/12/30 17:09,,,,,,,,,,,,,,,,,,,,,,,,,0,-60,0,0,-1,60,60
